mnth               ip           leading index
4801.000000000   23.500000000   37.900000000 
4802.000000000   23.500000000   37.500000000 
4803.000000000   23.300000000   37.800000000 
4804.000000000   23.300000000   38.200000000 
4805.000000000   23.700000000   37.700000000 
4806.000000000   24.000000000   38.300000000 
4807.000000000   24.000000000   38.100000000 
4808.000000000   23.900000000   37.700000000 
4809.000000000   23.700000000   37.100000000 
4810.000000000   23.900000000   37.200000000 
4811.000000000   23.600000000   36.900000000 
4812.000000000   23.400000000   36.300000000 
4901.000000000   23.200000000   35.700000000 
4902.000000000   22.900000000   35.500000000 
4903.000000000   22.500000000   35.300000000 
4904.000000000   22.400000000   34.800000000 
4905.000000000   22.100000000   34.900000000 
4906.000000000   22.000000000   34.800000000 
4907.000000000   22.000000000   35.500000000 
4908.000000000   22.200000000   36.300000000 
4909.000000000   22.400000000   37.400000000 
4910.000000000   21.600000000   37.600000000 
4911.000000000   22.200000000   38.300000000 
4912.000000000   22.600000000   38.900000000 
5001.000000000   22.900000000   39.800000000 
5002.000000000   23.000000000   40.300000000 
5003.000000000   23.800000000   40.700000000 
5004.000000000   24.600000000   41.300000000 
5005.000000000   25.200000000   42.400000000 
5006.000000000   25.900000000   42.700000000 
5007.000000000   26.700000000   44.400000000 
5008.000000000   27.600000000   46.100000000 
5009.000000000   27.400000000   45.600000000 
5010.000000000   27.600000000   45.600000000 
5011.000000000   27.500000000   45.400000000 
5012.000000000   28.000000000   45.800000000 
5101.000000000   28.100000000   46.900000000 
5102.000000000   28.300000000   46.200000000 
5103.000000000   28.400000000   45.900000000 
5104.000000000   28.500000000   44.700000000 
5105.000000000   28.400000000   44.200000000 
5106.000000000   28.200000000   42.900000000 
5107.000000000   27.800000000   42.000000000 
5108.000000000   27.500000000   41.200000000 
5109.000000000   27.700000000   41.300000000 
5110.000000000   27.700000000   41.300000000 
5111.000000000   27.900000000   41.000000000 
5112.000000000   28.100000000   41.200000000 
5201.000000000   28.400000000   41.400000000 
5202.000000000   28.500000000   41.700000000 
5203.000000000   28.600000000   41.800000000 
5204.000000000   28.400000000   41.800000000 
5205.000000000   28.100000000   41.900000000 
5206.000000000   27.800000000   42.800000000 
5207.000000000   27.400000000   42.800000000 
5208.000000000   29.200000000   43.500000000 
5209.000000000   30.200000000   44.900000000 
5210.000000000   30.500000000   44.300000000 
5211.000000000   31.100000000   44.300000000 
